T(K),Counts8
325,0
324,0
323,0
323,0
323,0
323,0
323,0
323,0
324,0
324,0
323,0
323,0
323,0
323,0
323,0
323,0
323,0
323,0
323,0
323,0
323,0
322,0
323,0
323,0
323,0
323,0
322,0
322,0
322,0
322,0
322,0
323,0
323,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
322,0
321,0
321,0
321,0
321,0
322,0
321,0
322,0
322,0
321,0
321,0
321,0
321,0
321,0
322,0
322,0
323,0
324,0
324,0
325,0
326,0
326,0
328,0
328,0
329,0
329,0
330,0
331,0
332,0
332,0
333,0
334,0
336,0
336,0
337,0
338,0
339,0
340,0
340,0
341,0
341,0
342,0
343,0
343,0
344,0
345,0
346,0
347,0
348,0
348,0
350,0
351,0
352,0
353,0
353,0
354,0
355,0
355,0
356,0
356,0
356,0
357,0
359,0
359,0
361,0
362,0
362,0
363,0
364,0
365,0
366,0
366,0
368,0
368,0
369,0
370,0
371,0
371,0
371,0
373,0
373,0
374,0
376,1
376,0
377,1
378,0
378,0
379,1
380,1
380,0
381,1
382,1
384,1
384,1
385,0
386,1
387,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
393,1
393,1
393,1
393,1
394,1
394,1
394,1
394,1
394,1
394,1
394,1
393,1
393,1
394,1
394,1
394,1
394,1
393,1
393,1
393,1
393,1
393,1
393,1
394,1
394,1
394,1
394,1
393,1
394,1
394,1
393,1
393,1
393,1
394,1
393,1
394,1
393,1
393,1
393,1
393,1
393,1
393,1
393,1
394,1
393,1
393,1
393,2
393,1
393,1
393,1
393,1
393,2
393,1
394,1
393,1
393,1
393,2
393,1
392,1
393,1
393,1
393,2
393,1
393,1
393,1
393,1
394,2
394,1
393,2
393,1
393,2
393,1
393,2
393,1
393,1
394,2
394,1
394,2
395,1
394,2
395,1
395,2
396,2
396,1
397,2
398,2
399,2
399,2
400,2
401,2
401,2
401,2
402,2
403,2
403,2
404,2
405,2
405,3
406,3
407,3
407,3
407,3
408,3
409,3
409,3
410,3
410,4
411,4
412,4
413,4
413,4
413,5
413,5
414,4
415,5
415,5
416,5
416,5
417,6
417,6
418,6
419,6
420,6
420,7
421,7
421,7
422,7
423,8
424,8
424,8
424,8
425,9
426,9
427,10
427,10
427,10
428,10
429,11
429,11
430,12
431,12
431,12
432,12
432,13
433,13
434,14
435,14
436,14
437,15
437,16
437,16
437,16
438,16
439,17
440,18
441,18
441,19
441,19
441,20
442,20
442,21
443,21
443,22
443,22
445,23
445,24
446,24
447,24
447,25
448,26
448,27
449,27
449,28
449,28
450,29
451,29
452,30
452,31
453,31
454,31
454,31
455,31
455,32
456,33
457,34
457,35
458,35
459,36
459,37
460,37
460,37
461,38
462,38
462,38
463,39
463,39
464,39
464,39
465,39
465,40
465,40
465,40
466,40
467,41
468,41
468,41
469,42
470,42
470,42
471,42
472,42
473,43
473,43
473,42
474,42
474,42
475,42
476,42
476,42
476,42
477,41
477,41
478,40
479,40
479,40
480,40
481,39
481,38
482,38
482,38
483,36
483,37
484,36
485,35
485,34
486,34
487,34
488,33
488,32
488,32
489,31
490,30
490,29
490,29
491,28
491,28
492,27
493,26
493,25
494,25
495,24
496,24
497,23
497,22
497,22
498,21
498,20
499,20
500,20
501,19
501,18
501,18
502,17
502,17
503,16
503,15
504,15
504,15
505,15
507,14
507,14
508,13
508,13
508,13
510,12
510,12
510,11
511,11
512,11
512,11
513,10
513,10
514,10
514,10
515,9
515,10
516,9
516,9
517,9
517,9
518,9
519,8
519,9
520,8
521,8
522,8
523,8
523,8
523,8
